#역1,역2,거리[m],시간
#1호선		거리(km)	시간(min)
#
청명역 분당선	영통역 분당선	1.1	2.18
영통역 분당선	망포역 분당선	1.5	2.5
망포역 분당선	매탄권선역 분당선	1.8	2.74
매탄권선역 분당선	수원시청역 분당선	1.4	2.42
수원시청역 분당선	매교역 분당선	1.4	2.42
매교역 분당선	수원역 분당선	1.5	2.5
#분당선 환승
선릉역 2호선	선릉역 분당선	0.5	15
도곡역 3호선	도곡역 분당선	0.5	15
수서역 3호선	수서역 분당선	0.5	15
#################################
#경의중앙선
#################################
#경의중앙선		거리	시간
문산역 경의중앙선	파주역 경의중앙선	4.4	4.82
파주역 경의중앙선	월롱역 경의중앙선	2.2	3.06
월롱역 경의중앙선	금촌역 경의중앙선	4.1	4.58
금촌역 경의중앙선	금릉역 경의중앙선	2.1	2.98
금릉역 경의중앙선	운정역 경의중앙선	3.1	3.78
운정역 경의중앙선	탄현역 경의중앙선	3.6	4.18
탄현역 경의중앙선	일산역 경의중앙선	1.7	2.66
일산역 경의중앙선	풍산역 경의중앙선	1.9	2.82
풍산역 경의중앙선	백마역 경의중앙선	1.7	2.66
백마역 경의중앙선	곡산역 경의중앙선	1.6	2.58
곡산역 경의중앙선	대곡역 경의중앙선	1.7	2.66
대곡역 경의중앙선	능곡역 경의중앙선	1.8	2.74
능곡역 경의중앙선	행신역 경의중앙선	1.5	2.5
행신역 경의중앙선	강매역 경의중앙선	0.9	2.02
강매역 경의중앙선	화전역 경의중앙선	2.5	3.3
화전역 경의중앙선	수색역 경의중앙선	3.4	4.02
수색역 경의중앙선	디지털미디어시티역 경의중앙선	0.6	1.78
디지털미디어시티역 경의중앙선	가좌역 경의중앙선	1.7	2.66
가좌역 경의중앙선	신촌역 경의중앙선	2.7	3.46
신촌역 경의중앙선	서울역 경의중앙선	3.1	3.78
가좌역 경의중앙선	홍대입구역 경의중앙선	1.7	2.66
홍대입구역 경의중앙선	서강대역 경의중앙선	0.9	2.02
서강대역 경의중앙선	공덕역 경의중앙선	1.9	2.82
공덕역 경의중앙선	용산역 경의중앙선	1.8	2.74
용산역 경의중앙선	이촌역 경의중앙선	1.9	2.82
이촌역 경의중앙선	서빙고역 경의중앙선	1.7	2.66
서빙고역 경의중앙선	한남역 경의중앙선	1.9	2.82
한남역 경의중앙선	옥수역 경의중앙선	1.6	2.58
옥수역 경의중앙선	응봉역 경의중앙선	1.8	2.74
응봉역 경의중앙선	왕십리역 경의중앙선	1.4	2.42
왕십리역 경의중앙선	청량리역 경의중앙선	2.4	3.22
청량리역 경의중앙선	회기역 경의중앙선	1.4	2.42
회기역 경의중앙선	중랑역 경의중앙선	1.8	2.74
중랑역 경의중앙선	상봉역 경의중앙선	0.8	1.94
상봉역 경의중앙선	망우역 경의중앙선	0.6	1.78
망우역 경의중앙선	양원역 경의중앙선	1.7	2.66
양원역 경의중앙선	구리역 경의중앙선	3.2	3.86
구리역 경의중앙선	도농역 경의중앙선	1.7	2.66
도농역 경의중앙선	양정역 경의중앙선	3.7	4.26
양정역 경의중앙선	덕소역 경의중앙선	2.3	3.14
덕소역 경의중앙선	도심역 경의중앙선	1.5	2.5
도심역 경의중앙선	팔당역 경의중앙선	4.2	4.66
팔당역 경의중앙선	운길산역 경의중앙선	6.4	6.42
운길산역 경의중앙선	양수역 경의중앙선	1.9	2.82
양수역 경의중앙선	신원역 경의중앙선	4.7	5.06
신원역 경의중앙선	국수역 경의중앙선	2.9	3.62
국수역 경의중앙선	아신역 경의중앙선	4.1	4.58
아신역 경의중앙선	오빈역 경의중앙선	2.8	3.54
오빈역 경의중앙선	양평역 경의중앙선	2.2	3.06
양평역 경의중앙선	원덕역 경의중앙선	5.8	5.94
원덕역 경의중앙선	용문역 경의중앙선	4.8	5.14
#회기역 경의중앙선	청량리역 경의중앙선	1.5	3
#청량리역 경의중앙선	왕십리역 경의중앙선	2	2
#################################
#경의중앙선
#################################
#경의중앙선 환승
#경의중앙선 환슨		거리(km)	시간(min)
대곡역 경의중앙선	대곡역 3호선	0.5	20
디지털미디어시티역 경의중앙선	디지털미디어시티역 6호선	0.5	20
디지털미디어시티역 경의중앙선	디지털미디어시티역 공항철도	0.5	20
서울역 경의중앙선	서울역 1호선	0.5	20
서울역 경의중앙선	서울역 4호선	0.5	20
서울역 경의중앙선	서울역 공항철도	0.5	20
홍대입구역 경의중앙선	홍대입구역 2호선	0.5	20
홍대입구역 경의중앙선	홍대입구역 공항철도	0.5	20
공덕역 경의중앙선	공덕역 5호선	0.5	20
공덕역 경의중앙선	공덕역 6호선	0.5	20
공덕역 경의중앙선	공덕역 공항철도	0.5	20
용산역 경의중앙선	용산역 1호선	0.5	20
이촌역 경의중앙선	이촌역 4호선	0.5	20
옥수역 경의중앙선	옥수역 3호선	0.5	20
왕십리역 경의중앙선	왕십리역 2호선	0.5	20
왕십리역 경의중앙선	왕십리역 5호선	0.5	20
왕십리역 경의중앙선	왕십리역 분당선	0.5	20
청량리역 경의중앙선	청량리역 1호선	0.5	20
회기역 경의중앙선	회기역 1호선	0.5	20
상봉역 경의중앙선	상봉역 7호선	0.5	20
#######################################
#다른교통수단과의 거점들
김포공항	김포공항역 공항철도	0	3
서울역	서울역 4호선	0	8
서울역	서울역 1호선	0	5
서울역	서울역 공항철도	0	8
